Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Public Method,org.junit.platform.testkit.engine.EventStatistics.aborted,2,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.EventStatistics.dynamicallyRegistered,2,,,,,,,1.0,5.0
Public Method,org.junit.platform.testkit.engine.EventStatistics.failed,2,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.EventStatistics.finished,2,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.EventStatistics.reportingEntryPublished,2,,,,,,,1.0,5.0
Public Method,org.junit.platform.testkit.engine.EventStatistics.skipped,2,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.EventStatistics.started,2,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.EventStatistics.succeeded,2,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.EventType.valueOf,1,,,,,,,1.0,0.0
Public Method,org.junit.platform.testkit.engine.EventType.values,1,,,,,,,1.0,0.0
Public Class,org.junit.platform.testkit.engine.Events,41,1.0,1.0,67.0,0.0,29.0,34.0,,169.0
Public Method,org.junit.platform.testkit.engine.Events.aborted,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Events.assertEventsMatchExactly,1,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.Events.assertEventsMatchLoosely,1,,,,,,,1.0,5.0
Public Method,org.junit.platform.testkit.engine.Events.assertEventsMatchLooselyInOrder,1,,,,,,,1.0,5.0
Public Method,org.junit.platform.testkit.engine.Events.assertStatistics,1,,,,,,,1.0,7.0
Public Method,org.junit.platform.testkit.engine.Events.assertThatEvents,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Events.count,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Events.debug,1,,,,,,,1.0,5.0
Public Method,org.junit.platform.testkit.engine.Events.debug,1,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.Events.debug,1,,,,,,,1.0,5.0
Private Method,org.junit.platform.testkit.engine.Events.debug,2,,,,,,,1.0,5.0
Public Method,org.junit.platform.testkit.engine.Events.dynamicallyRegistered,1,,,,,,,1.0,3.0
Private Method,org.junit.platform.testkit.engine.Events.eventsByType,1,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.Events.executions,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Events.failed,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Events.filter,1,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.Events.finished,1,,,,,,,1.0,3.0
Private Method,org.junit.platform.testkit.engine.Events.finishedEventsByStatus,1,,,,,,,1.0,5.0
Public Method,org.junit.platform.testkit.engine.Events.list,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Events.reportingEntryPublished,1,,,,,,,1.0,4.0
Public Method,org.junit.platform.testkit.engine.Events.skipped,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Events.started,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Events.stream,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Events.succeeded,1,,,,,,,1.0,3.0
Public Class,org.junit.platform.testkit.engine.Execution,9,1.0,1.0,66.0,0.0,8.0,9.0,,52.0
Public Method,org.junit.platform.testkit.engine.Execution.getDuration,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Execution.getEndInstant,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Execution.getStartInstant,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Execution.getTerminationInfo,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Execution.getTestDescriptor,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.Execution.toString,1,,,,,,,1.0,9.0
Public Class,org.junit.platform.testkit.engine.ExecutionRecorder,7,1.0,1.0,14.0,0.0,9.0,7.0,,28.0
Public Method,org.junit.platform.testkit.engine.ExecutionRecorder.dynamicTestRegistered,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.testkit.engine.ExecutionRecorder.executionFinished,1,,,,,,,1.0,3.0
